Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
21281.3903,21282.43519,1.044898,12,285,3,0,Voc,TCH,TCH,0,0,,,282.3.CH.Voc.RN
21310.63583,21311.46014,0.824308,12,286,1,0,Sem,TCH,TCH,1,1,Te-te = fallen,,"283.1.CH.Sem.Init.""Te-te"""
21311.46014,21312.55147,1.091338,12,286,2,1,Imper,S1,Rus,0,1,,,283.2.CDS.Imper.S1.Rus.RY
21315.55846,21316.10413,0.545669,12,286,3,0,Sem,TCH,TCH,0,1,Te-te = fallen,,"283.3.CH.Sem.RY.""Te-te"""
21329.11891,21329.69941,0.580498,12,286,4,1,Imper,S1,Rus,0,1,,,283.4.CDS.Imper.S1.Rus.RY
21329.69941,21330.83719,1.137778,12,286,5,0,Sem,TCH,TCH,0,1,Te-te = fallen,,"283.5.CH.Sem.RY.""Te-te"""
21330.87202,21331.39447,0.522449,12,286,6,1,Imper,S1,Rus,0,0,,,283.6.CDS.Imper.S1.Rus.RN
21331.39447,21332.62513,1.230658,12,287,1,1,Decl,S1,Rus,1,1,,,284.1.CDS.Decl.S1.Rus.Init
21334.05315,21334.58721,0.534059,12,287,2,0,Sem,TCH,TCH,0,1,"Dai, dai",Rus,"284.2.CH.Sem.""Dai-dai"".RY"
21334.63365,21336.34032,1.706666,12,287,3,1,Imper,S1,Rus,0,1,,,284.3.CDS.Imper.S1.Rus.RY
21505.14939,21506.11302,0.963628,12,287,4,0,Voc,TCH,TCH,0,1,,,284.4.CH.Voc.RY
21507.29723,21508.29569,0.998458,12,287,5,1,Decl,S1,Rus,0,1,,,284.5.CDS.Decl.S1.Rus.RY
21508.62077,21510.55964,1.938866,12,287,6,0,Voc,TCH,TCH,0,1,,,284.6.CH.Voc.RY
21511.11692,21512.41723,1.300318,12,287,7,1,Decl,S1,Rus,0,1,,,284.7.CDS.Decl.S1.Rus.RY
21518.87238,21520.70676,1.834376,12,287,8,0,Voc,TCH,TCH,0,1,,,284.8.CH.Voc.RY
21522.63982,21523.41188,0.772063,12,287,9,1,Decl,S1,Rus,0,0,,,284.9.CDS.Decl.S1.Rus.RN
21525.34494,21526.65687,1.311928,12,288,1,0,Icon,TCH,TCH,1,1,Kwa-kwa,,"285.1.CH.Icon.""Kwa"".Init"
21528.67701,21529.04272,0.365714,12,288,2,1,Icon,S1,Rus,0,1,Kwa,,"285.2.CDS.Icon.""Kva"".S1.Rus.RY"
21529.26331,21530.16308,0.899773,12,288,3,0,Voc,TCH,TCH,0,1,,,285.3.CH.Voc.RY
21548.55909,21549.08735,0.528254,12,288,4,1,Decl,S1,Rus,0,1,,,285.4.CDS.Decl.S1.Rus.RY
21549.08735,21550.01034,0.922993,12,288,5,0,Icon,TCH,TCH,0,1,Kwa-kwa,,"285.5.CH.Icon.""Kwa"".RY"
21558.28825,21558.65977,0.371519,12,288,6,1,Valid,S1,Rus,0,0,,,285.6.CDS.Valid.S1.Rus.RN
21558.65397,21559.96009,1.306124,12,289,1,0,Sem,TCH,TCH,1,1,Te-te = fallen,,"286.1.CH.Sem.""Te-te"".Init"
21561.14431,21561.93959,0.795284,12,289,2,1,Imper,S1,Rus,0,0,,,286.2.CDS.Imper.S1.Rus.RN
21562.07891,21562.56653,0.487619,12,290,1,1,Excl,S2,Rus,1,1,,,287.1.CDS.Excl.S2.Rus.Init
21691.21088,21691.76236,0.551474,12,290,2,0,Sing,TCH,TCH,0,0,,,287.2.CH.Sing.RN
21697.21905,21699.21016,1.991111,12,291,1,0,Voc,TCH,TCH,1,1,,,288.1.CH.Voc.Init
21944.66249,21945.18494,0.522449,12,291,2,1,Decl,S2,Rus,0,0,,,288.2.CDS.Decl.S2.Rus.RN
