Duration,Speaker,Language,Category,Turn,Classification,,
2.73,tch,tch,tch,initiation,babbling,,
0.84,oma,ru,cds,contingent,backchannel,,
1.47,oma,ru,cds,initiation,description,,
0.97,tch,tch,tch,contingent,babbling,,
0.78,oma,ru,cds,contingent,repair 3,,
1.331,oma,ru,cds,initiation,exclamation,,
0.84,tch,tch,tch,contingent,babbling,,
0.46,oma,ru,cds,contingent,backchannel,,
0.7,tch,tch,tch,contingent,vocalisation,,
3.864,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,iconic,,
,oma,ru,cds,contingent,question,,
1.05,tch,tch,tch,initiation,babbling,,
0.76,oma,ru,cds,contingent,backchannel,,
4.248,tch,tch,tch,non-contingent,babbling,,
4.125,tch,tch,tch,non-contingent,babbling,,
1.52,tch,tch,tch,non-contingent,vocalisation,,
0.96,tch,tch,tch,initiation,babbling,,
0.82,oma,ru,cds,contingent,backchannel,,
1.392,tch,tch,tch,non-contingent,vocalisation,,
3.746,tch,tch,tch,initiation,babbling,,
2.45,oma,ru,cds,contingent,exclamation,,
,oma,ru,cds,contingent,exclamation,,
5.431,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,scaffolding,,
0.85,tch,tch,tch,contingent,vocalisation,,
9.78,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
3.295,oma,ru,cds,non-contingent,description,,
7.91,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
9.44,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
0.86,tch,tch,tch,non-contingent,vocalisation,,
0.78,tch,tch,tch,non-contingent,vocalisation,,
1,tch,tch,tch,initiation,babbling,,
2.5,oma,ru,cds,contingent,reading,,
1.2,tch,tch,tch,contingent,iconic,,
2.34,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,non-contingent,reading,,
2.718,oma,ru,cds,non-contingent,reading,,
0.58,tch,tch,tch,initiation,vocalisation,,
2.2,oma,ru,cds,contingent,question,,
1.88,tch,tch,tch,non-contingent,babbling,,
0.79,tch,tch,tch,initiation,babbling,,
1.355,oma,ru,cds,contingent,question,,
1.29,tch,tch,tch,initiation,babbling,,
5.54,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,description,,
1.08,tch,tch,tch,initiation,vocalisation,,
0.91,oma,ru,cds,contingent,backchannel,,
0.85,tch,tch,tch,contingent,speech-like,,
1.162,oma,ru,cds,contingent,vocal imitation,,
1.888,tch,tch,tch,non-contingent,babbling,,
1.25,tch,tch,tch,non-contingent,yawning,,
0.83,tch,tch,tch,initiation,vocalisation,,
2.72,oma,ru,cds,contingent,backchannel,,
11.72,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
3.161,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,scaffolding,,
4.08,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,initiation,praise,,
0.59,tch,tch,tch,contingent,babbling,,
1.212,oma,ru,cds,contingent,imperative,,
9.91,tch,tch,tch,non-contingent,babbling,,
1.29,tch,tch,tch,initiation,fussing,,
1.27,oma,ru,cds,contingent,imperative,,
4.85,tch,tch,tch,initiation,fussing,,
2.4,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,exclamation,,
4.59,oma,ru,cds,non-contingent,description,,
2.06,oma,ru,cds,non-contingent,scaffolding,,
,oma,ru,cds,non-contingent,iconic,,
1.01,tch,tch,tch,initiation,vocalisation,,
1.4,oma,ru,cds,contingent,backchannel,,
3.222,oma,ru,cds,non-contingent,imperative,,
,oma,ru,cds,non-contingent,question,,
0.83,tch,tch,tch,initiation,babbling,,
1.117,oma,ru,cds,contingent,prosodic imitation,,
1.767,tch,tch,tch,non-contingent,vocalisation,,
3.84,oma,ru,cds,non-contingent,description,,
7.612,oma,ru,cds,non-contingent,description,,
2.6,tch,tch,tch,initiation,babbling,,
7.077,oma,ru,cds,contingent,prosodic imitation,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,backchannel,,
,oma,ru,cds,contingent,scaffolding,,
7.75,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,description,,
,oma,ru,cds,non-contingent,backchannel,,
1.51,tch,tch,tch,initiation,vocalisation,,
4.925,oma,ru,cds,contingent,repair 1,,
3.81,oma,ru,cds,contingent,play,,
1.91,tch,tch,tch,contingent,fussing,,
3.02,oma,ru,cds,contingent,question,,
,oma,ru,cds,contingent,description,,
,oma,ru,cds,contingent,question,,
2.52,tch,tch,tch,contingent,speech-like,,
9.447,oma,ru,cds,contingent,repair 3,,
